,Unnamed: 0,id,local_name,unique_name,latitude,longitude,population,country,city
0,0,5159,"Padua, Veneto, Italia",padua,45.4064349,11.8767611,209678.0,Italia,Padova
1,1,76,"Barcelona, Cataluña, España",barcelona,41.3850639,2.1734035,1611822.0,España,Barcelona
2,2,81,"Basel, Basel-Stadt, Schweiz",basel,47.5934368,7.6198121,,Deutschland,
3,3,259,"Erlangen, Bayern, Deutschland",erlangen,49.5896744,11.0119611,105412.0,Deutschland,Erlangen
4,4,11979,"Balș, Olt, România",balș,44.3533537,24.0956725,,România,
5,5,10314,"Град Пожаревац, Централна Србија, Србија",град-пожаревац,44.61909535,21.176521769748106,,Србија,
6,6,11155,"Bussy-Lettrée, Grand-Est, France",bussy-lettree,48.8046,4.2595,,France,
7,7,11788,"Chamonix, Valle d'Aosta, Italia",chamonix-italia,45.817156,6.952375,,Italia,
8,8,11984,"Borger, Texas, United States of America",borger,35.66782029999999,-101.3973876,,United States,
9,9,11825,"okres Zvolen, Banskobystrický kraj, Slovensko",okres-zvolen,48.5761806,19.1371155,,Slovensko,okres Zvolen
10,10,11878,"Castellón de la Plana, Comunitat Valenciana, España",castellon-de-la-plana,40.004,-0.0634,,España,Castelló de la Plana
11,11,11992,"Castello-Molina di Fiemme, Trentino-Alto Adige, Italia",castello-molina-di-fiemme,46.2818451,11.4371429,,Italia,
12,12,11998,"Craiova, Dolj, România",craiova,44.3301785,23.7948808,,România,Craiova
13,13,12002,"Filiași, Dolj, România",filiași,44.554523,23.520008800000006,,România,
14,14,12005,"Gare de Lamarche, Grand-Est, France",gare-de-lamarche,48.08998,5.76017,,France,
15,15,834,"Tignes Val Claret, Auvergne-Rhône-Alpes, France",tignes-val-claret,45.457331,6.901682000000001,,France,
16,16,10339,"Briançon - Serre-Chevalier, Provence-Alpes-Côte d'Azur, France",briancon---serre-chevalier,44.897001,6.634322999999998,,France,
17,17,10712,"Aix-la-Chapelle, Nordrhein-Westfalen, Deutschland",aix-la-chapelle,50.785661,6.1368589999999985,,Deutschland,Aachen
18,18,5409,"Aarschot, Vlaanderen, Belgique",aarschot,50.986000000000004,4.8365,,België / Belgique / Belgien,
19,19,5439,"Aime - La Plagne, Auvergne-Rhône-Alpes, France",aime---la-plagne,45.5545,6.6488,,France,Aime-la-Plagne
20,20,5423,"Agropoli Castellabate, CAM, Italia",agropoli-castellabate,40.3514,15.0019,,Italia,
21,21,5445,"Aix En Provence Gare Routiere, Provence-Alpes-Côte d'Azur, France",aix-en-provence-gare-routiere,43.5249,5.4541,,France,Aix-en-Provence
22,22,12014,"Huelva, Andalucía, España",huelva,37.2531,-6.9508,,España,Huelva
23,23,12015,"Hunedoara, Hunedoara, România",hunedoara,45.7678128,22.9072331,,România,Hunedoara
24,24,12016,"Hymont, Grand-Est, France",hymont,48.2657,6.1419,,France,
25,25,12017,"Ile de Ré Nouvelle-Aquitaine, France",ile-de-re-nouvelle-aquitaine,46.22894,-1.5413,,France,
26,26,12018,"Ile d'Oléron, Nouvelle-Aquitaine, France",ile-doleron,45.94304,-1.30741,,France,
27,27,5444,"Aix-en-Provence Centre, Provence-Alpes-Côte d'Azur, France",aix-en-provence-centre,43.5229,5.4453,,France,Aix-en-Provence
28,28,9378,"Ahun, Nouvelle-Aquitaine, France",ahun,46.086459999999995,2.04508,,France,
29,29,12023,"Jessains, Grand-Est, France",jessains,48.29707,4.57794,,France,
30,30,12029,"Knutange, Grand-Est, France",knutange,49.34051,6.03829,,France,
31,31,12033,"Labroquère, Occitanie, France",labroquere,43.0387,0.5928,,France,
32,32,12035,"Laguian - Mazous, Occitanie, France",laguian---mazous,43.41,0.257,,France,
33,33,11989,"Caracal, Olt, România",caracal,44.1157446,24.3424754,,România,
34,34,11959,"Svilagnac, Svalignac, Serbia",svilagnac,44.2333,21.1947,,Србија,Општина Свилајнац
35,35,12038,"Lanobre, Auvergne-Rhône-Alpes, France",lanobre,45.4365,2.5346900000000003,,France,
36,36,12039,"Largentière, Auvergne-Rhône-Alpes, France",largentiere,44.54247,4.29242,,France,
37,37,12040,"Larnagol, Occitanie, France",larnagol,44.47588,1.7777900000000002,,France,
38,38,12041,"Latisana, Friuli-Venezia Giulia, Italia",latisana,45.7778,13.0011,,Italia,
39,39,709,"Roma, Lazio, Italia",roma,41.90278350000001,12.4963655,2874529.0,Italia,Roma
40,40,880,"Venezia, Veneto, Italia",venezia,45.4408474,12.3155151,264534.0,Italia,Mestre
41,41,1088,"Genève, Genève, Schweiz",geneve,46.2085189819336,6.14694690704346,,Schweiz/Suisse/Svizzera/Svizra,Genève
42,42,673,"Praha, Praha, Česko",praha,50.0755381,14.4378005,1243201.0,Česko,Hlavní město Praha
43,43,12151,"Pont Pfimlin, Baden-Württemberg, Deutschland",pont-pfimlin,48.491393,7.769951,,France,
44,44,12154,"Saint-Aybert, Hauts-de-France, France",saint-aybert,50.438773,3.668625,,France,
45,45,12155,"Sainte Aybert, Wallonie, Belgique",sainte-aybert,50.439398,3.668515,,België / Belgique / Belgien,
46,46,12156,"Saint Julien en Genevois, Genève, Schweiz",saint-julien-en-genevois-schweiz,46.151967,6.090518,,Schweiz/Suisse/Svizzera/Svizra,Perly-Certoux
47,47,12162,"Tunnel de la Giraude, Liguria, Italia",tunnel-de-la-giraude,43.788917,7.531606,,Italia,
48,48,12163,"Tunnel routier du Fréjus, Piemonte, Italia",tunnel-routier-du-frejus,45.193623,6.674258999999998,,France,
49,49,10711,", , ",-,1.370676,48.731938,,NO COUNTRY,NO CITY
50,50,11718,"Преветица, Централна Србија, Србија",преветица,42.9818,21.261,,Србија,Општина Куршумлија
51,51,11719,"Пријепоље, Централна Србија, Србија",пријепоље,43.3879,19.6472,,Србија,Општина Пријепоље
52,52,11721,"Ресавица, Централна Србија, Србија",ресавица,44.0408,21.5816,,Србија,Општина Деспотовац
53,53,11723,"Русе, Русе, България",русе,43.848,25.9542,,Бългaрия,Русе
54,54,11725,"Свилајнац, Централна Србија, Србија",свилајнац,44.2333,21.1947,,Србија,Општина Свилајнац
55,55,11726,"Седларе, Централна Србија, Србија",седларе,44.1985,21.2939,,Србија,Општина Свилајнац
56,56,11732,"Стара Загора, Стара Загора, България",стара-загора,42.4247,25.6257,,Бългaрия,Стара Загора
57,57,11733,"Стрий, Львівська область, Україна",стрий,49.2559,23.8531,,Україна,
58,58,11734,"Струга, Југозападен Регион, Македонија",струга,41.1772,20.6832,,Северна Македонија,
59,59,11735,"Суботица, Војводина, Србија",суботица,46.1,19.6641,,Србија,Град Суботица
60,60,11736,"Тернопіль, Тернопільська область, Україна",тернопіль,49.5558,25.5919,,Україна,Тернопіль
61,61,11737,"Тропоње, Централна Србија, Србија",тропоње,44.1621,21.287,,Србија,Општина Свилајнац
62,62,11745,"Централен, Пловдив, България",централен,42.1396,24.7446,,Бългaрия,Пловдив
63,63,11746,"Чачак, Централна Србија, Србија",чачак,43.8888,20.3447,,Србија,Град Чачак
64,64,11768,"Castelló de la Plana, Comunitat Valenciana, España",castello-de-la-plana,40.004,-0.0634,,España,Castelló de la Plana
65,65,11769,"Domat - Ems, Graubünden - Grigioni - Grischun, Schweiz",domat---ems,46.8351,9.4507,,Schweiz/Suisse/Svizzera/Svizra,
66,66,12043,"Lavalette, Occitanie, France",lavalette,43.6377,1.5965,,France,
67,67,9382,"Aiton, Auvergne-Rhône-Alpes, France",aiton,45.5603,6.2548,,France,
68,68,9388,"Alost, Vlaanderen, Belgique",alost,50.9431,4.0386,,België / Belgique / Belgien,
69,69,9393,"Ampolla Perello, Cataluña, , España",ampolla-perello,40.8143,0.7146,,España,
70,70,10345,"Île d'Oléron - Dolus, Nouvelle-Aquitaine, France",ile-doleron---dolus,45.90918,-1.263293,,France,
71,71,10354,"Rouen Métropole, Normandie, France",rouen-metropole,49.342813,1.0352689999999998,,France,
72,72,10728,"Avignon - Vedène, Provence-Alpes-Côte d'Azur, France",avignon---vedene,43.979812,4.889464,,France,
73,73,6783,"Gros Rederching, Grand-Est, France",gros-rederching,49.0677,7.2177,,France,
74,74,4930,"okres Poprad, Prešovský kraj, Slovensko",okres-poprad,49.0589648,20.0799302,,Slovensko,okres Poprad
